|                 start |                  stop |        tstart |         tstop |       dur | rel_tstart |                 manvr |      ra |     dec |    roll |
| 2020:169:09:53:19.226 | 2020:169:10:55:16.902 | 708774868.410 | 708778586.086 |  3717.675 |     55.350 | 2020:169:09:44:49.289 |  84.800 | -24.900 | 178.448 |
| 2020:169:11:33:42.127 | 2020:169:23:32:38.229 | 708780891.311 | 708824027.413 | 43136.103 |    123.000 | 2020:169:10:55:27.664 |  28.938 |  31.397 |  91.993 |
| 2020:170:00:09:24.030 | 2020:170:01:34:59.280 | 708826233.214 | 708831368.464 |  5135.250 |    124.025 | 2020:169:23:32:48.992 | 234.824 |  39.927 | 211.069 |
| 2020:170:02:01:07.530 | 2020:170:07:03:39.256 | 708832936.714 | 708851088.440 | 18151.726 |    107.625 | 2020:170:01:35:10.042 | 263.277 | -13.062 | 205.004 |
| 2020:170:07:43:44.931 | 2020:170:07:48:38.081 | 708853494.115 | 708853787.265 |   293.150 |    115.825 | 2020:170:07:03:50.019 | 108.000 |  70.000 | 333.870 |
| 2020:170:08:17:50.831 | 2020:170:22:13:59.459 | 708855540.015 | 708905708.643 | 50168.628 |     90.200 | 2020:170:07:48:48.844 |  28.938 |  31.396 |  91.993 |
| 2020:170:22:57:13.735 | 2020:171:00:06:45.485 | 708908302.919 | 708912474.669 |  4171.750 |     87.125 | 2020:170:22:14:10.222 | 214.006 |  13.363 | 219.998 |
| 2020:171:00:44:43.035 | 2020:171:14:17:58.163 | 708914752.219 | 708963547.347 | 48795.128 |    135.300 | 2020:171:00:06:56.247 | 259.490 | -37.452 | 324.991 |
| 2020:171:14:52:27.638 | 2020:171:15:44:08.263 | 708965616.822 | 708968717.447 |  3100.625 |    112.750 | 2020:171:14:18:08.925 | 294.000 | -31.000 |  77.844 |
| 2020:171:15:52:27.438 | 2020:171:17:49:14.339 | 708969216.622 | 708976223.523 |  7006.900 |   3712.550 | 2020:171:14:18:08.925 | 294.000 | -31.000 |  77.844 |
| 2020:171:18:27:46.739 | 2020:171:18:46:39.364 | 708978535.923 | 708979668.548 |  1132.625 |    126.075 | 2020:171:17:49:25.101 | 250.000 | -36.000 | 303.067 |
| 2020:171:19:24:09.239 | 2020:172:01:21:07.640 | 708981918.423 | 709003336.824 | 21418.401 |    132.225 | 2020:171:18:46:50.126 | 116.000 | -21.000 | 212.530 |
| 2020:172:01:27:00.240 | 2020:172:02:38:00.141 | 709003689.424 | 709007949.325 |  4259.900 |     64.575 | 2020:172:01:21:17.378 | 117.000 | -22.000 | 212.837 |
| 2020:172:03:12:55.241 | 2020:172:13:49:13.418 | 709010044.425 | 709048222.602 | 38178.177 |     80.975 | 2020:172:02:38:10.903 | 251.739 | -45.857 | 320.976 |
| 2020:172:14:16:22.143 | 2020:172:14:21:06.068 | 709049851.327 | 709050135.252 |   283.925 |    125.050 | 2020:172:13:49:24.181 | 135.000 | -60.000 | 221.002 |
| 2020:172:15:10:21.143 | 2020:173:01:45:52.171 | 709053090.327 | 709091221.355 | 38131.027 |    127.100 | 2020:172:14:21:16.831 | 275.505 |  64.354 | 174.416 |
| 2020:173:02:35:19.546 | 2020:173:02:40:05.521 | 709094188.730 | 709094474.705 |   285.975 |    123.000 | 2020:173:01:46:02.933 | 135.000 | -62.000 | 220.584 |
| 2020:173:03:06:57.846 | 2020:173:11:45:50.173 | 709096087.030 | 709127219.357 | 31132.327 |    126.075 | 2020:173:02:40:16.283 | 251.745 | -45.858 | 320.980 |
| 2020:173:12:20:27.848 | 2020:173:12:25:01.523 | 709129297.032 | 709129570.707 |   273.675 |    135.300 | 2020:173:11:46:00.935 | 123.000 | -25.000 | 215.808 |
| 2020:173:12:56:44.948 | 2020:174:05:44:12.277 | 709131474.132 | 709191921.461 | 60447.329 |    109.675 | 2020:173:12:25:12.286 | 166.120 |  38.253 | 250.996 |
| 2020:174:06:19:43.252 | 2020:174:07:12:27.427 | 709194052.436 | 709197216.611 |  3164.175 |     95.325 | 2020:174:05:44:23.039 | 259.000 | -16.000 | 235.030 |
| 2020:174:08:03:43.452 | 2020:174:09:14:59.753 | 709200292.636 | 709204568.937 |  4276.300 |     82.000 | 2020:174:07:12:38.190 | 282.000 | -30.000 |  58.278 |
| 2020:174:09:34:07.753 | 2020:174:10:02:45.653 | 709205716.937 | 709207434.837 |  1717.900 |     74.825 | 2020:174:09:15:10.515 | 285.000 | -24.000 |  90.204 |
| 2020:174:10:43:00.553 | 2020:174:12:20:09.728 | 709209849.737 | 709215678.912 |  5829.175 |    139.400 | 2020:174:10:02:56.415 |  39.000 |  23.000 | 101.438 |
| 2020:174:12:28:10.453 | 2020:174:12:47:50.228 | 709216159.637 | 709217339.412 |  1179.775 |   6449.300 | 2020:174:10:02:56.415 |  39.000 |  23.000 | 101.438 |
| 2020:174:13:27:57.954 | 2020:174:14:37:35.854 | 709219747.138 | 709223925.038 |  4177.900 |    137.350 | 2020:174:12:48:00.991 | 284.000 | -20.000 | 108.627 |
| 2020:174:15:12:06.354 | 2020:174:16:18:40.779 | 709225995.538 | 709229989.963 |  3994.425 |     85.075 | 2020:174:14:37:46.616 | 270.000 | -20.000 | 201.730 |
| 2020:174:16:23:55.454 | 2020:174:17:50:01.454 | 709230304.638 | 709235470.638 |  5166.000 |     63.550 | 2020:174:16:18:51.542 | 270.000 | -20.000 | 202.450 |
| 2020:174:18:09:46.355 | 2020:175:01:42:48.331 | 709236655.539 | 709263837.515 | 27181.977 |     76.875 | 2020:174:17:50:12.217 | 251.819 |  -1.927 | 221.000 |
| 2020:175:02:15:29.156 | 2020:175:18:57:50.010 | 709265798.340 | 709325939.194 | 60140.854 |    117.875 | 2020:175:01:42:59.094 | 166.111 |  38.255 | 259.001 |
| 2020:175:19:33:32.260 | 2020:175:20:59:13.660 | 709328081.444 | 709333222.844 |  5141.400 |    117.875 | 2020:175:18:58:00.772 | 271.380 |   2.507 | 189.999 |
| 2020:175:21:19:39.560 | 2020:176:03:26:10.937 | 709334448.744 | 709356440.121 | 21991.376 |     69.700 | 2020:175:20:59:24.423 | 251.818 |  -1.928 | 221.000 |
| 2020:176:03:58:47.662 | 2020:176:20:41:23.891 | 709358396.846 | 709418553.075 | 60156.229 |    113.775 | 2020:176:03:26:21.699 | 166.112 |  38.253 | 259.001 |
| 2020:176:21:18:20.966 | 2020:176:23:00:24.316 | 709420770.150 | 709426893.500 |  6123.350 |    115.825 | 2020:176:20:41:33.628 | 265.000 | -17.000 | 231.036 |
| 2020:176:23:42:03.266 | 2020:177:00:57:33.767 | 709429392.450 | 709433922.951 |  4530.500 |     82.000 | 2020:176:23:00:35.079 | 290.000 | -19.000 | 109.128 |
| 2020:177:01:41:58.767 | 2020:177:02:32:10.217 | 709436587.951 | 709439599.401 |  3011.450 |     77.900 | 2020:177:00:57:44.529 | 264.000 | -33.000 | 314.911 |
| 2020:177:02:40:28.367 | 2020:177:07:40:16.093 | 709440097.551 | 709458085.277 | 17987.726 |   3587.500 | 2020:177:00:57:44.529 | 264.000 | -33.000 | 314.911 |
| 2020:177:08:19:32.568 | 2020:177:09:29:26.868 | 709460441.752 | 709464636.052 |  4194.300 |    126.075 | 2020:177:07:40:26.856 | 120.000 | -20.000 | 211.256 |
| 2020:177:10:04:54.769 | 2020:177:17:37:22.920 | 709466763.953 | 709493912.104 | 27148.152 |    110.700 | 2020:177:09:29:36.606 | 251.735 | -45.856 | 311.979 |
| 2020:177:18:05:42.370 | 2020:178:00:06:22.172 | 709495611.554 | 709517251.356 | 21639.801 |    119.925 | 2020:177:17:37:33.683 |  81.327 | -69.636 | 167.064 |
| 2020:178:00:34:39.572 | 2020:178:10:20:20.674 | 709518948.756 | 709554089.858 | 35141.102 |    117.875 | 2020:178:00:06:32.934 | 251.736 | -45.857 | 311.981 |
| 2020:178:10:40:54.774 | 2020:178:23:30:18.727 | 709555323.958 | 709601487.911 | 46163.953 |     94.300 | 2020:178:10:20:31.436 | 195.678 | -63.819 | 268.202 |
| 2020:178:23:50:34.377 | 2020:179:08:07:16.254 | 709602703.561 | 709632505.438 | 29801.877 |     75.850 | 2020:178:23:30:29.489 | 251.740 | -45.858 | 311.983 |
